Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T8,0,200000,500000,-1
2022-03-02 11:02:47+00:00,1,105,T8,205,199795,499795,72
2022-03-02 11:44:23+00:00,1,106,T8,8,199787,499787,79
2022-03-03 14:35:30+00:00,1,111,T8,114,199673,499673,4
2022-03-09 10:21:34+00:00,1,143,T8,980,198693,498693,31
2022-03-09 11:18:12+00:00,1,140,T8,2730,195963,495963,31
2022-03-10 13:18:21+00:00,1,150,T8,1050,194913,494913,31
2022-03-14 11:03:46+00:00,1,160,T8,300,194613,494613,32
2022-03-14 12:23:21+00:00,1,156,T8,114,194499,494499,4
2022-03-14 12:37:07+00:00,1,155,T8,82,194417,494417,87
2022-03-14 12:49:20+00:00,1,159,T8,304,194113,494113,88
2022-03-15 09:09:20+00:00,1,162,T8,574,193539,493539,48
2022-03-16 21:21:00+00:00,1,199,T8,574,192965,492965,70
2022-03-17 09:57:00+00:00,1,210,T8,70,192895,492895,31
2022-03-17 13:17:00+00:00,1,211,T8,980,191915,491915,31
2022-03-22 09:20:00+00:00,1,197,T8,130,191785,491785,68
2022-04-04 12:49:00+00:00,1,207,T8,18,191767,491767,60
2022-04-13 09:23:00+00:00,1,220,T8,80,191687,491687,75
2022-04-13 09:30:00+00:00,1,221,T8,80,191607,491607,75
2022-04-13 11:51:00+00:00,1,227,T8,45,191562,491562,30
