,Date,Day,Week,Year
0,2021-01-01,Friday,53,2021
1,2021-01-02,Saturday,53,2021
2,2021-01-03,Sunday,53,2021
3,2021-01-04,Monday,1,2021
4,2021-01-05,Tuesday,1,2021
5,2021-01-06,Wednesday,1,2021
6,2021-01-07,Thursday,1,2021
7,2021-01-08,Friday,1,2021
8,2021-01-09,Saturday,1,2021
9,2021-01-10,Sunday,1,2021
10,2021-01-11,Monday,2,2021
11,2021-01-12,Tuesday,2,2021
12,2021-01-13,Wednesday,2,2021
13,2021-01-14,Thursday,2,2021
14,2021-01-15,Friday,2,2021
15,2021-01-16,Saturday,2,2021
16,2021-01-17,Sunday,2,2021
17,2021-01-18,Monday,3,2021
18,2021-01-19,Tuesday,3,2021
19,2021-01-20,Wednesday,3,2021
20,2021-01-21,Thursday,3,2021
21,2021-01-22,Friday,3,2021
22,2021-01-23,Saturday,3,2021
23,2021-01-24,Sunday,3,2021
24,2021-01-25,Monday,4,2021
25,2021-01-26,Tuesday,4,2021
26,2021-01-27,Wednesday,4,2021
27,2021-01-28,Thursday,4,2021
28,2021-01-29,Friday,4,2021
29,2021-01-30,Saturday,4,2021
30,2021-01-31,Sunday,4,2021
31,2021-02-01,Monday,5,2021
32,2021-02-02,Tuesday,5,2021
33,2021-02-03,Wednesday,5,2021
34,2021-02-04,Thursday,5,2021
35,2021-02-05,Friday,5,2021
36,2021-02-06,Saturday,5,2021
37,2021-02-07,Sunday,5,2021
38,2021-02-08,Monday,6,2021
39,2021-02-09,Tuesday,6,2021
40,2021-02-10,Wednesday,6,2021
41,2021-02-11,Thursday,6,2021
42,2021-02-12,Friday,6,2021
43,2021-02-13,Saturday,6,2021
44,2021-02-14,Sunday,6,2021
45,2021-02-15,Monday,7,2021
46,2021-02-16,Tuesday,7,2021
47,2021-02-17,Wednesday,7,2021
48,2021-02-18,Thursday,7,2021
49,2021-02-19,Friday,7,2021
50,2021-02-20,Saturday,7,2021
51,2021-02-21,Sunday,7,2021
52,2021-02-22,Monday,8,2021
53,2021-02-23,Tuesday,8,2021
54,2021-02-24,Wednesday,8,2021
55,2021-02-25,Thursday,8,2021
56,2021-02-26,Friday,8,2021
57,2021-02-27,Saturday,8,2021
58,2021-02-28,Sunday,8,2021
59,2021-03-01,Monday,9,2021
60,2021-03-02,Tuesday,9,2021
61,2021-03-03,Wednesday,9,2021
62,2021-03-04,Thursday,9,2021
63,2021-03-05,Friday,9,2021
64,2021-03-06,Saturday,9,2021
65,2021-03-07,Sunday,9,2021
66,2021-03-08,Monday,10,2021
67,2021-03-09,Tuesday,10,2021
68,2021-03-10,Wednesday,10,2021
69,2021-03-11,Thursday,10,2021
