,id,event_full_datetime,date,event_type,event_name,count,part_name,input,output,start_time,end_time,end_setup,first_yield,first_pass_yield,part,error,program,runtime,downtime,repair,maintain,state_type,previous_state_id,minutes_since_last_failure,minutes_since_last_error,minutes_since_last_repair,minutes_since_last_maintain,minutes_since_last_io
0,105,2022-03-02 11:02:47+00:00,2022-03-02,IO,LANDING_LEDGE_48,1,LANDING_LEDGE_48,5.0,5.0,2022-04-26 11:02:47.890,2022-04-26 11:10:25.473,,,,,,,,,,,,,,,,,
1,106,2022-03-02 11:44:23+00:00,2022-03-02,IO,LANDING_LEDGE_48 RERUN,1,LANDING_LEDGE_48 RERUN,2.0,2.0,2022-04-26 11:44:23.826,2022-04-26 11:46:47.563,,,,,,,,,,,,105.0,,,,,
2,111,2022-03-03 14:35:30+00:00,2022-03-03,IO,BACK FLUE PANEL,1,BACK FLUE PANEL,6.0,6.0,2022-04-26 14:35:30.370,2022-04-26 14:59:14.996,,,,,,,,,,,,106.0,,,,,
3,118,2022-03-04 09:48:23+00:00,2022-03-04,IO,SRB_VALVE_COVER_36,1,SRB_VALVE_COVER_36,6.0,5.0,2022-04-26 09:48:23.340,2022-04-26 10:05:24.690,,,,,,,,,,,,111.0,,,,,
4,113,2022-03-04 11:40:23+00:00,2022-03-04,IO,SSP_FRONT_CROSS_SUPPORT,1,SSP_FRONT_CROSS_SUPPORT,80.0,80.0,2022-04-26 11:40:23.850,2022-04-26 13:31:23.663,,,,,,,,,,,,118.0,,,,,
5,122,2022-03-07 11:09:02+00:00,2022-03-07,IO,SSP DBL SIDE PANEL 24 H,1,SSP DBL SIDE PANEL 24 H,22.0,21.0,2022-04-26 11:09:02.000,2022-04-26 11:51:02.836,,,,,,,,,,,,113.0,,,,,
6,130,2022-03-07 11:58:34+00:00,2022-03-07,IO,SSP DBL SIDE PANEL 24 H,1,SSP DBL SIDE PANEL 24 H,34.0,34.0,2022-04-26 11:58:34.926,2022-04-26 12:16:35.803,,,,,,,,,,,,122.0,,,,,
7,128,2022-03-07 12:40:10+00:00,2022-03-07,IO,SSP VALVE COVER REGULAR,1,SSP VALVE COVER REGULAR,45.0,45.0,2022-04-26 12:40:10.413,2022-04-26 13:07:11.396,,,,,,,,,,,,130.0,,,,,
8,125,2022-03-07 13:12:28+00:00,2022-03-07,IO,SSP VALVE COVER JET,1,SSP VALVE COVER JET,9.0,9.0,2022-04-26 13:12:28.900,2022-04-26 13:21:08.663,,,,,,,,,,,,128.0,,,,,
9,127,2022-03-07 13:59:02+00:00,2022-03-07,IO,SHP VALVE COVER 12 DBL,1,SHP VALVE COVER 12 DBL,10.0,10.0,2022-04-26 13:59:02.446,2022-04-26 14:10:44.103,,,,,,,,,,,,125.0,,,,,
10,126,2022-03-07 14:17:30+00:00,2022-03-07,IO,SCB VALVE COVER 12,1,SCB VALVE COVER 12,2.0,2.0,2022-04-26 14:17:30.623,2022-04-26 14:26:31.790,,,,,,,,,,,,127.0,,,,,
